FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.679709256,0.628286481,0.735707581
0.125787579,0.679849684,0.628286481,0.735707581
0.126575158,0.681254923,0.630612254,0.737451732
0.127362736,0.682449579,0.632671475,0.737474978
0.128150315,0.682449579,0.632671475,0.737474978
0.128937894,0.683588445,0.633476377,0.739252329
0.129725473,0.684814751,0.634418607,0.741444886
0.130513051,0.684814751,0.634418607,0.741444886
0.131300630,0.686081052,0.636363626,0.742960930
0.132088209,0.687393904,0.636639655,0.744346142
0.132875788,0.687393904,0.636639655,0.744346142
0.133663366,0.688728750,0.637373745,0.746016860
0.134450945,0.690087259,0.638397038,0.749492884
0.135238524,0.691349268,0.640398562,0.750730276
0.136026103,0.691349268,0.640398562,0.750730276
0.136813681,0.692591071,0.642095029,0.751135349
0.137601260,0.693935454,0.643183887,0.752043605
0.138388839,0.693935454,0.643183887,0.752043605
0.139176418,0.695218503,0.645626664,0.752653956
0.139963996,0.696650147,0.645974755,0.754016042
0.140751575,0.696650147,0.645974755,0.754016042
0.141539154,0.697975218,0.646464646,0.754098356
0.142326733,0.699390888,0.646528423,0.756024122
0.143114311,0.700660527,0.647716701,0.756340563
0.143901890,0.700660527,0.647716701,0.756340563
0.144689469,0.701986909,0.648241222,0.757028103
0.145477048,0.703348398,0.649854481,0.757633567
0.146264626,0.703348398,0.649854481,0.757633567
0.147052205,0.704815328,0.651322246,0.759578526
0.147839784,0.706112027,0.651588082,0.760437369
0.148627363,0.706112027,0.651588082,0.760437369
0.149414941,0.707388878,0.652525246,0.760467410
0.150202520,0.708739340,0.654580176,0.762838483
0.150990099,0.710071027,0.654935598,0.763059676
0.151777678,0.710071027,0.654935598,0.763059676
0.152565257,0.711311281,0.655339777,0.763618648
0.153352835,0.712712765,0.656488538,0.764591455
0.154140414,0.712712765,0.656488538,0.764591455
0.154927993,0.713961661,0.657575786,0.765352905
0.155715572,0.715389132,0.658369124,0.766363621
0.156503150,0.715389132,0.658369124,0.766363621
0.157290729,0.716621935,0.660931170,0.767552197
0.158078308,0.717968822,0.660931170,0.768924296
0.158865887,0.719091535,0.660931170,0.769447029
0.159653465,0.719091535,0.660931170,0.769447029
0.160441044,0.720428467,0.661493719,0.770204484
0.161228623,0.721477568,0.662683845,0.770398498
0.162016202,0.721477568,0.662683845,0.770398498
0.162803780,0.722569346,0.665656567,0.771516383
0.163591359,0.723707020,0.666980267,0.773244798
0.164378938,0.723707020,0.666980267,0.773244798
0.165166517,0.724847496,0.667907000,0.773567438
0.165954095,0.725837350,0.667907000,0.773567438
0.166741674,0.727043509,0.670020103,0.773689032
0.167529253,0.727043509,0.670020103,0.773689032
0.168316832,0.728044927,0.670910895,0.774590135
0.169104410,0.728989840,0.672575593,0.775390625
0.169891989,0.728989840,0.672575593,0.775390625
0.170679568,0.729962111,0.674687207,0.775390625
0.171467147,0.730885267,0.676042676,0.775528967
0.172254725,0.730885267,0.676042676,0.775528967
0.173042304,0.731673002,0.677150786,0.776340127
0.173829883,0.732447982,0.677480936,0.776340127
0.174617462,0.733314455,0.679403543,0.776340127
0.175405041,0.733314455,0.679403543,0.776340127
0.176192619,0.734050691,0.680517077,0.776426554
0.176980198,0.734932244,0.682624102,0.776482046
0.177767777,0.734932244,0.682624102,0.776482046
0.178555356,0.735664904,0.684210539,0.776482046
0.179342934,0.736398697,0.685274303,0.777663946
0.180130513,0.736398697,0.685274303,0.777663946
0.180918092,0.737162709,0.687155962,0.778002024
0.181705671,0.737849236,0.688628137,0.778297484
0.182493249,0.738467872,0.688829780,0.778297484
0.183280828,0.738467872,0.688829780,0.778297484
0.184068407,0.739181459,0.690217376,0.779296875
0.184855986,0.739817083,0.691478968,0.780128777
0.185643564,0.739817083,0.691478968,0.780128777
0.186431143,0.740422904,0.691956103,0.780373812
0.187218722,0.741081893,0.694332004,0.780388176
0.188006301,0.741081893,0.694332004,0.780388176
0.188793879,0.741662085,0.695813954,0.781316340
0.189581458,0.742181361,0.696995735,0.782039285
0.190369037,0.742668569,0.698058248,0.782039285
0.191156616,0.742668569,0.698058248,0.782039285
0.191944194,0.743250370,0.699468076,0.782039285
0.192731773,0.743743718,0.703061223,0.782243013
0.193519352,0.743743718,0.703061223,0.782243013
0.194306931,0.744263172,0.703839123,0.782809615
0.195094509,0.744734347,0.704052806,0.783505142
0.195882088,0.744734347,0.704052806,0.783505142
0.196669667,0.745262563,0.704225361,0.784545481
0.197457246,0.745788038,0.704331458,0.785454571
0.198244824,0.746241212,0.704483092,0.785495400
0.199032403,0.746241212,0.704483092,0.785495400
0.199819982,0.746723890,0.705636740,0.785495400
0.200607561,0.747195303,0.705827951,0.786132812
0.201395140,0.747195303,0.705827951,0.786132812
0.202182718,0.747635245,0.705882370,0.786132812
0.202970297,0.748038054,0.707142830,0.787276328
0.203757876,0.748038054,0.707142830,0.787276328
0.204545455,0.748562396,0.707243443,0.787439585
0.205333033,0.748965561,0.707988977,0.788270354
0.206120612,0.749376357,0.708249509,0.788270354
0.206908191,0.749376357,0.708249509,0.788270354
0.207695770,0.749880373,0.710106373,0.789090931
0.208483348,0.750297368,0.710106373,0.789366066
0.209270927,0.750297368,0.710106373,0.789366066
0.210058506,0.750690341,0.711281061,0.789371967
0.210846085,0.751151800,0.711538434,0.790060878
0.211633663,0.751151800,0.711538434,0.790060878
0.212421242,0.751568139,0.712765932,0.790229857
0.213208821,0.751999021,0.712988198,0.790388525
0.213996400,0.752404928,0.713352025,0.791946292
0.214783978,0.752404928,0.713352025,0.791946292
0.215571557,0.752821147,0.713652492,0.791946292
0.216359136,0.753203154,0.713652492,0.793478251
0.217146715,0.753203154,0.713652492,0.793478251
0.217934293,0.753694713,0.714691937,0.793863833
0.218721872,0.754120290,0.715639830,0.793863833
0.219509451,0.754120290,0.715639830,0.793863833
0.220297030,0.754572690,0.715712965,0.793863833
0.221084608,0.755005240,0.716061175,0.793863833
0.221872187,0.755436420,0.716738224,0.794688463
0.222659766,0.755436420,0.716738224,0.794688463
0.223447345,0.755890548,0.716779828,0.794688463
0.224234923,0.756319940,0.716904283,0.794848204
0.225022502,0.756319940,0.716904283,0.794848204
0.225810081,0.756720185,0.716904283,0.795289874
0.226597660,0.757235348,0.716911793,0.796740174
0.227385239,0.757235348,0.716911793,0.796740174
0.228172817,0.757689595,0.717153311,0.796740174
0.228960396,0.758153200,0.718374908,0.797101438
0.229747975,0.758620024,0.718454957,0.797941983
0.230535554,0.758620024,0.718454957,0.797941983
0.231323132,0.759103298,0.719298244,0.797941983
0.232110711,0.759522796,0.719801962,0.798850596
0.232898290,0.759522796,0.719801962,0.798850596
0.233685869,0.759953260,0.719801962,0.799795687
0.234473447,0.760404170,0.719801962,0.799795687
0.235261026,0.760404170,0.719801962,0.799795687
0.236048605,0.760861695,0.719801962,0.799795687
0.236836184,0.761338115,0.719882488,0.800724626
0.237623762,0.761796892,0.720861912,0.801838636
0.238411341,0.761796892,0.720861912,0.801838636
0.239198920,0.762262166,0.720861912,0.802571177
0.239986499,0.762696505,0.721782207,0.803229034
0.240774077,0.762696505,0.721782207,0.803229034
0.241561656,0.763111591,0.721782207,0.803710938
0.242349235,0.763572872,0.721797347,0.804047823
0.243136814,0.763572872,0.721797347,0.804047823
0.243924392,0.764067531,0.722426474,0.804407716
0.244711971,0.764515102,0.722426474,0.804766297
0.245499550,0.765003443,0.723014235,0.805108786
0.246287129,0.765003443,0.723014235,0.805108786
0.247074707,0.765462279,0.723968565,0.805924416
0.247862286,0.765945733,0.724170625,0.807000935
0.248649865,0.765945733,0.724170625,0.807000935
0.249437444,0.766434729,0.724838436,0.807000935
0.250225023,0.766960859,0.726345062,0.807286680
0.251012601,0.766960859,0.726345062,0.807286680
0.251800180,0.767434716,0.726345062,0.807947040
0.252587759,0.767912805,0.726423919,0.807971001
0.253375338,0.767912805,0.726423919,0.807971001
0.254162916,0.768383682,0.726744175,0.808876812
0.254950495,0.768936396,0.727355897,0.809204221
0.255738074,0.769423604,0.727364182,0.809839189
0.256525653,0.769423604,0.727364182,0.809839189
0.257313231,0.769883811,0.727449059,0.810785234
0.258100810,0.770444810,0.728260875,0.811121762
0.258888389,0.770444810,0.728260875,0.811121762
0.259675968,0.770859122,0.728860319,0.812310815
0.260463546,0.771347582,0.729605854,0.812310815
0.261251125,0.771347582,0.729605854,0.812310815
0.262038704,0.771919072,0.730009437,0.812310815
0.262826283,0.772419989,0.730696797,0.812310815
0.263613861,0.772928357,0.730916023,0.812734067
0.264401440,0.772928357,0.730916023,0.812734067
0.265189019,0.773399889,0.731635630,0.812734067
0.265976598,0.773895502,0.731638432,0.814176261
