epoch,loss,calssify loss,regress loss z,regress loss h,regress loss w,regress loss d,true positive,total positive,true negative,total negative,time,,false negative,false positive,,ACC,TPR,TNR,FPR,FNR,PPV,NPV,F1_Score
0,0.15608223,0.10899292,0.011518574,0.011174405,0.010368432,0.014027883,186.0,1527.0,5701.0,6108.0,1012.434,,1341.0,407.0,,0.7710543,0.12180746,0.93336606,0.06663393974304199,0.8781925365328789,0.31365937,0.80957115,0.17547169959817524
1,0.093077466,0.052582636,0.009645445,0.009676475,0.009215354,0.011957556,711.0,1527.0,5898.0,6108.0,1011.066,,816.0,210.0,,0.8656189,0.46561885,0.96561885,0.03438115119934082,0.5343811511993408,0.77198696,0.8784629,0.5808823430256247
2,0.083877474,0.041863527,0.009839057,0.009227815,0.009843246,0.013103822,925.0,1527.0,5947.0,6108.0,1011.432,,602.0,161.0,,0.9000655,0.60576296,0.9736411,0.02635890245437622,0.39423704147338867,0.85174954,0.9080776,0.7079984698811214
3,0.08031921,0.041028164,0.0096833315,0.009195015,0.0094240345,0.010988664,892.0,1527.0,5967.0,6108.0,1010.356,,635.0,141.0,,0.8983628,0.5841519,0.97691554,0.02308446168899536,0.4158480763435364,0.86350435,0.903817,0.6968749786414012
4,0.070143335,0.030823888,0.00976563,0.009597519,0.008803678,0.011152621,1080.0,1527.0,6007.0,6108.0,1010.815,,447.0,101.0,,0.9282253,0.70726913,0.9834643,0.016535699367523193,0.2927308678627014,0.91447926,0.93074065,0.7976365702034046
5,0.06630784,0.02593059,0.009615454,0.00986008,0.009759503,0.011142216,1132.0,1527.0,6011.0,6108.0,1011.129,,395.0,97.0,,0.9355599,0.7413229,0.9841192,0.015880823135375977,0.2586771249771118,0.92107403,0.93833905,0.8214803865072962
6,0.06347496,0.024361925,0.009121052,0.009440874,0.009542083,0.0110090235,1172.0,1527.0,6031.0,6108.0,1011.238,,355.0,77.0,,0.94341844,0.767518,0.98739356,0.012606441974639893,0.23248201608657837,0.9383507,0.94440967,0.8443803519027155
7,0.05944915,0.021088151,0.009419228,0.009582859,0.00928169,0.010077219,1226.0,1527.0,6042.0,6108.0,1011.686,,301.0,66.0,,0.9519319,0.8028815,0.9891945,0.010805487632751465,0.19711852073669434,0.94891644,0.9525461,0.8698119773699424
8,0.059948675,0.02123384,0.009630673,0.009246986,0.00910752,0.010729659,1236.0,1527.0,6028.0,6108.0,1010.935,,291.0,80.0,,0.95140797,0.80943024,0.9869024,0.013097584247589111,0.19056975841522217,0.9392097,0.95394844,0.869504054734398
9,0.058401473,0.021096794,0.00925239,0.009807895,0.009547125,0.008697269,1227.0,1527.0,6029.0,6108.0,1011.011,,300.0,79.0,,0.9503602,0.80353636,0.98706615,0.012933850288391113,0.19646364450454712,0.9395099,0.95259917,0.8662195422539546
